hotel_id,name,price,city
1,Mamounia Hotel,19401,Marrakesh
2,Sofitel Marrakech Lounge & Spa,2376,Marrakesh
3,Chez Ali Marrakech,None,Marrakesh
4,Mövenpick Hotel Mansour Eddahbi Marrakech,2115,Marrakesh
5,Barceló Palmeraie,1226,Marrakesh
6,ibis Marrakech Palmeraie,497,Marrakesh
7,Kenzi Club Agdal Medina,1473,Marrakesh
8,Savoy Le Grand Hotel Marrakech,1625,Marrakesh
9,LabrandaTarga Club Aqua Parc,811,Marrakesh
10,Hotel Riu Tikida Palmeraie,1065,Marrakesh
11,ibis Marrakech Centre Gare,503,Marrakesh
12,Es Saadi,1555,Marrakesh
13,Adam Park Marrakech,993,Marrakesh
14,Hôtel Marrakech Le Semiramis,421,Marrakesh
15,Wazo Hôtel,642,Marrakesh
16,Palm Plaza Hôtel & Spa,1203,Marrakesh
17,Zephyr Marrakech - Hôtel Centre de Vacances Resort & SPA,462,Marrakesh
18,Hôtel Atlas Asni,None,Marrakesh
19,Kenzi Menara Palace,1348,Marrakesh
20,Kenzi Rose Garden,None,Marrakesh
21,Grand Mogador Agdal,822,Marrakesh
22,Hôtel El Andalous Lounges & Spa,663,Marrakesh
23,Four Seasons Resort Marrakech,22990,Marrakesh
24,Radisson Blu Hotel Marrakech Carre Eden,1986,Marrakesh
25,Hotel Riu Tikida Garden,None,Marrakesh
26,Hotel Les Idrissides,None,Marrakesh
27,Le Méridien N'Fis,1271,Marrakesh
28,Dar Essalam,1282,Marrakesh
29,Club Med Marrakech La Palmeraie,None,Marrakesh
30,Ryad Mogador Menara Hotel & SPA,1097,Marrakesh
31,Palmeraie Palace,None,Marrakesh
32,LABRANDA Rose and Aqua Park,729,Marrakesh
33,Novotel Marrakech Hivernage,1033,Marrakesh
34,Hôtel Tazi,None,Marrakesh
35,Zalagh Kasbah Hotel & Spa,719,Marrakesh
36,Mogador Menzah,551,Marrakesh
37,Mogador Kasbah - Hôtel & Spa,24158,Marrakesh
38,Hotel Farah Marrakech,588,Marrakesh
39,Hotel La Maison Arabe,2067,Marrakesh
40,Les Jardins de La Koutoubia,2584,Marrakesh
41,Royal Mansour Marrakech,16299,Marrakesh
42,Atlas Medina & Spa,None,Marrakesh
43,Imperial Plaza,468,Marrakesh
44,2Ciels Luxury Boutique Hôtel & Spa,1085,Marrakesh
45,Hotel Chems,502,Marrakesh
46,Beldi Country Club,None,Marrakesh
47,DIWANE HOTEL & SPA Marrakesh,631,Marrakesh
48,Hôtel Almas,558,Marrakesh
49,Be Live Experience Marrakech Palmeraie,1208,Marrakesh
50,Hôtel Meriem,460,Marrakesh
51,HOTEL MARRAKECH RACINE,612,Marrakesh
52,Be Live Collection Marrakech Adults Only Marrakesch,2015,Marrakesh
53,Hôtel Du Golf Rotana Palmeraie,1530,Marrakesh
54,Opera Plaza Hotel,918,Marrakesh
55,Hotel Relax Marrakech,598,Marrakesh
56,Riad Mabrouk,816,Marrakesh
57,BLUESEA Le Printemps,590,Marrakesh
58,Golden Tulipe,523,Marrakesh
59,Hotel Agdal,None,Marrakesh
60,Marrakech Ryads Parc Spa,983,Marrakesh
61,El Fenn Hotel Restaurant and Rooftop Bar,3660,Marrakesh
62,Hôtel Lawrence D'arabie,488,Marrakesh
63,Hôtel Oudaya & Spa,373,Marrakesh
64,Mogador Opera Marrakech - Hotel & Spa,1313,Marrakesh
65,Sol Oasis Marrakech,1735,Marrakesh
66,Selman Marrakech,5854,Marrakesh
67,Hôtel ayoub,520,Marrakesh
68,Mogador Express Gueliz,16413,Marrakesh
69,Hôtel Ali,328,Marrakesh
70,Hotel Le Grand Imilchil,502,Marrakesh
71,TUI BLUE Medina Gardens,1697,Marrakesh
72,Kech Boutique Hôtel & Spa,757,Marrakesh
73,The Pearl Marrakech,4149,Marrakesh
74,Hotel Al Kabir,415,Marrakesh
75,Hivernage Hotel & Spa,1557,Marrakesh
76,Riad Ennakhil - Hotel & Spa,1122,Marrakesh
77,Dellarosa Hotel Suites & Spa,803,Marrakesh
78,Gardens of the Palmeraie,None,Marrakesh
79,Hôtel La Renaissance Marrakech,577,Marrakesh
80,Les Jardins de la Medina,2688,Marrakesh
81,Sofitel Marrakech Palais Imperial,2780,Marrakesh
82,Palm Appart Club Marrakech,687,Marrakesh
83,Ryads Al Maaden Médina & Golf Resort,2567,Marrakesh
84,Royal Mirage Deluxe Hotel,616,Marrakesh
85,Hôtel & Ryads Barrière Le Naoura,3193,Marrakesh
86,Red Hotel Marrakech,733,Marrakesh
87,Club Paradisio,882,Marrakesh
88,Hôtel Le Caspien,544,Marrakesh
89,Manzil La Tortue,771,Marrakesh
90,Hôtel et appart hôtel Les Ambassadeurs Marrakech,976,Marrakesh
